,email,digits,age,has_digit,has_underscore,has_period,username_length,domain_aol.com,domain_gmail.com,domain_hotmail.com,domain_icloud.com,domain_mail.com,domain_others,domain_outlook.com,domain_protonmail.com,domain_tutanota.com,domain_yahoo.com,first_name
57,samantha1996_green@icloud.com,1996,0,1,1,0,18,0,0,0,1,0,0,0,0,0,0,samantha1996
58,madison1991_bell@outlook.com,1991,1,1,1,0,16,0,0,0,0,0,0,1,0,0,0,madison1991
59,john.morris@gmail.com,0,3,0,0,1,11,0,1,0,0,0,0,0,0,0,0,john
60,Clement.Stamm37@gmail.com,37,3,1,0,1,15,0,1,0,0,0,0,0,0,0,0,Clement
61,emma.johnson1999@outlook.com,1999,0,1,0,1,16,0,0,0,0,0,0,1,0,0,0,emma
62,Alanna.Bode-Altenwerth66@yahoo.com,66,2,1,0,1,24,0,0,0,0,0,0,0,0,0,1,Alanna
63,rebecca.scott@outlook.com,0,3,0,0,1,13,0,0,0,0,0,0,1,0,0,0,rebecca
64,Chanelle71@outlook.com,71,2,1,0,0,10,0,0,0,0,0,0,1,0,0,0,Chanelle71
65,martha@wright@yahoo.com,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,1,martha
66,logan_turner1998@outlook.com,1998,0,1,1,0,16,0,0,0,0,0,0,1,0,0,0,logan
67,emily.smith06@outlook.com,06,0,1,0,1,13,0,0,0,0,0,0,1,0,0,0,emily
68,kevin_2003thompson@gmail.com,2003,0,1,1,0,18,0,1,0,0,0,0,0,0,0,0,kevin
69,mark.smith2004@gmail.com,2004,0,1,0,1,14,0,1,0,0,0,0,0,0,0,0,mark
70,Kameron21@mail.com,21,1,1,0,0,9,0,0,0,0,1,0,0,0,0,0,Kameron21
71,thomas.hall@gmail.com,0,3,0,0,1,11,0,1,0,0,0,0,0,0,0,0,thomas
72,logan.turner98@outlook.com,98,0,1,0,1,14,0,0,0,0,0,0,1,0,0,0,logan
73,Joana.Zboncak@icloud.com,0,0,0,0,1,13,0,0,0,1,0,0,0,0,0,0,Joana
74,rachel.perez45@icloud.com,45,0,1,0,1,14,0,0,0,1,0,0,0,0,0,0,rachel
75,Giovanni_Tremblay60@aol.com,60,2,1,1,0,19,1,0,0,0,0,0,0,0,0,0,Giovanni
76,megan.wilson21@hotmail.com,21,3,1,0,1,14,0,0,1,0,0,0,0,0,0,0,megan
77,rebecca.bryant@protonmail.com,0,0,0,0,1,14,0,0,0,0,0,0,0,1,0,0,rebecca
78,Neal.McGlynn@gmail.com,0,3,0,0,1,12,0,1,0,0,0,0,0,0,0,0,Neal
79,rachel11_flare@icloud.com,11,0,1,1,0,14,0,0,0,1,0,0,0,0,0,0,rachel11
80,david.roberts81@gmail.com,81,1,1,0,1,15,0,1,0,0,0,0,0,0,0,0,david
81,Mekhi60@icloud.com,60,2,1,0,0,7,0,0,0,1,0,0,0,0,0,0,Mekhi60
82,Evan93@yahoo.com,93,1,1,0,0,6,0,0,0,0,0,0,0,0,0,1,Evan93
83,rachel.bailey1723@gmail.com,1723,3,1,0,1,17,0,1,0,0,0,0,0,0,0,0,rachel
84,hannah_8764hill@icloud.com,8764,0,1,1,0,15,0,0,0,1,0,0,0,0,0,0,hannah
85,sophia.jones03@gmail.com,03,0,1,0,1,14,0,1,0,0,0,0,0,0,0,0,sophia
86,elizabeth.roberts@hotmail.com,0,3,0,0,1,17,0,0,1,0,0,0,0,0,0,0,elizabeth
87,Susan13@tutanota.com,13,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,Susan13
88,sarah.carter@yahoo.com,0,3,0,0,1,12,0,0,0,0,0,0,0,0,0,1,sarah
89,madeline.ross05@aol.com,05,0,1,0,1,15,1,0,0,0,0,0,0,0,0,0,madeline
90,victoria_james2005@gmail.com,2005,0,1,1,0,18,0,1,0,0,0,0,0,0,0,0,victoria
91,Jaclyn_Cole@gmail.com,0,3,0,1,0,11,0,1,0,0,0,0,0,0,0,0,Jaclyn
92,Shawn.Rowe58@tutanota.com,58,2,1,0,1,12,0,0,0,0,0,0,0,0,1,0,Shawn
93,logan_wright2003@gmail.com,2003,0,1,1,0,16,0,1,0,0,0,0,0,0,0,0,logan
94,thomas.jones@hotmail.com,0,3,0,0,1,12,0,0,1,0,0,0,0,0,0,0,thomas
95,emma76_flash@gmail.com,76,1,1,1,0,12,0,1,0,0,0,0,0,0,0,0,emma76
96,nathan_martin2003@gmail.com,2003,0,1,1,0,17,0,1,0,0,0,0,0,0,0,0,nathan
97,Adaline.Mills@gmail.com,0,3,0,0,1,13,0,1,0,0,0,0,0,0,0,0,Adaline
98,Zoie73@outlook.com,73,2,1,0,0,6,0,0,0,0,0,0,1,0,0,0,Zoie73
99,jacob_green2005@yahoo.com,2005,0,1,1,0,15,0,0,0,0,0,0,0,0,0,1,jacob
100,sophia.adams@yahoo.com,0,3,0,0,1,12,0,0,0,0,0,0,0,0,0,1,sophia
101,samuel.morgan@gmail.com,0,3,0,0,1,13,0,1,0,0,0,0,0,0,0,0,samuel
102,matthew.adams@protonmail.com,0,0,0,0,1,13,0,0,0,0,0,0,0,1,0,0,matthew
103,Zita.Herman35@outlook.com,35,3,1,0,1,13,0,0,0,0,0,0,1,0,0,0,Zita
104,Darrel_Roberts15@protonmail.com,15,0,1,1,0,16,0,0,0,0,0,0,0,1,0,0,Darrel
105,Nathen.Boehm@protonmail.com,0,0,0,0,1,12,0,0,0,0,0,0,0,1,0,0,Nathen
106,lily.thompson57@aol.com,57,2,1,0,1,15,1,0,0,0,0,0,0,0,0,0,lily
107,noah5563@yahoo.com,5563,3,1,0,0,8,0,0,0,0,0,0,0,0,0,1,noah5563
108,adam.henderson32@gmail.com,32,3,1,0,1,16,0,1,0,0,0,0,0,0,0,0,adam
109,andrew36_burn@hotmail.com,36,3,1,1,0,13,0,0,1,0,0,0,0,0,0,0,andrew36
110,Jayden48@mail.com,48,1,1,0,0,8,0,0,0,0,1,0,0,0,0,0,Jayden48
111,Patrick.Johnston@aol.com,0,2,0,0,1,16,1,0,0,0,0,0,0,0,0,0,Patrick
112,Julien_Mayert51@aol.com,51,2,1,1,0,15,1,0,0,0,0,0,0,0,0,0,Julien
113,matthew.baker@hotmail.com,0,3,0,0,1,13,0,0,1,0,0,0,0,0,0,0,matthew
114,Sofia64@mail.com,64,2,1,0,0,7,0,0,0,0,1,0,0,0,0,0,Sofia64
115,Meredith_Hansen@gmail.com,0,3,0,1,0,15,0,1,0,0,0,0,0,0,0,0,Meredith
116,2003_samuel_white@organization.org,2003,0,1,1,0,17,0,0,0,0,0,1,0,0,0,0,2003
117,amanda.king99@hotmail.com,99,0,1,0,1,13,0,0,1,0,0,0,0,0,0,0,amanda
118,Nora_Turcotte@icloud.com,0,0,0,1,0,13,0,0,0,1,0,0,0,0,0,0,Nora
119,Hailee_Kuhic58@aol.com,58,2,1,1,0,14,1,0,0,0,0,0,0,0,0,0,Hailee
120,daniel.taylor88@outlook.com,88,1,1,0,1,15,0,0,0,0,0,0,1,0,0,0,daniel
121,Melody.OReilly32@tutanota.com,32,0,1,0,1,16,0,0,0,0,0,0,0,0,1,0,Melody
122,paul.baker@aol.com,0,2,0,0,1,10,1,0,0,0,0,0,0,0,0,0,paul
123,Frank_Herzog@tutanota.com,0,0,0,1,0,12,0,0,0,0,0,0,0,0,1,0,Frank
124,michael_93.johnson@college.edu,93,1,1,1,1,18,0,0,0,0,0,1,0,0,0,0,michael
125,james21_shine@gmail.com,21,3,1,1,0,13,0,1,0,0,0,0,0,0,0,0,james21
126,madeline.ross05@aol.com,05,0,1,0,1,15,1,0,0,0,0,0,0,0,0,0,madeline
127,Pansy17@protonmail.com,17,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,Pansy17
128,amanda_williams12356@icloud.com,12356,0,1,1,0,20,0,0,0,1,0,0,0,0,0,0,amanda
129,stephen.morris@yahoo.com,0,3,0,0,1,14,0,0,0,0,0,0,0,0,0,1,stephen
130,david.clark@protonmail.com,0,0,0,0,1,11,0,0,0,0,0,0,0,1,0,0,david
131,caleb.phillips67@icloud.com,67,2,1,0,1,16,0,0,0,1,0,0,0,0,0,0,caleb
132,1987_rachel.s@gmail.com,1987,1,1,1,1,13,0,1,0,0,0,0,0,0,0,0,1987
133,margaret.anderson1782@gmail.com,1782,3,1,0,1,21,0,1,0,0,0,0,0,0,0,0,margaret
134,matthew.lewis@gmail.com,0,3,0,0,1,13,0,1,0,0,0,0,0,0,0,0,matthew
135,Carlie.Conroy@aol.com,0,2,0,0,1,13,1,0,0,0,0,0,0,0,0,0,Carlie
136,claire81_flicker@yahoo.com,81,1,1,1,0,16,0,0,0,0,0,0,0,0,0,1,claire81
137,joshua.bell00@gmail.com,00,0,1,0,1,13,0,1,0,0,0,0,0,0,0,0,joshua
138,mason.watson04@hotmail.com,04,0,1,0,1,14,0,0,1,0,0,0,0,0,0,0,mason
139,victoria_kelly2003@protonmail.com,2003,0,1,1,0,18,0,0,0,0,0,0,0,1,0,0,victoria
140,jason.barnes90@gmail.com,90,1,1,0,1,14,0,1,0,0,0,0,0,0,0,0,jason
141,simon.peters@hotmail.com,0,3,0,0,1,12,0,0,1,0,0,0,0,0,0,0,simon
142,martha.young1792@gmail.com,1792,3,1,0,1,16,0,1,0,0,0,0,0,0,0,0,martha
143,Nikolas54@outlook.com,54,2,1,0,0,9,0,0,0,0,0,0,1,0,0,0,Nikolas54
144,caleb78_bright@icloud.com,78,1,1,1,0,14,0,0,0,1,0,0,0,0,0,0,caleb78
145,james_jones10000@gmail.com,10000,3,1,1,0,16,0,1,0,0,0,0,0,0,0,0,james
146,Carroll_Armstrong92@mail.com,92,1,1,1,0,19,0,0,0,0,1,0,0,0,0,0,Carroll
147,Annabelle.Schaden-Jakubowski82@icloud.com,82,1,1,0,1,30,0,0,0,1,0,0,0,0,0,0,Annabelle
148,mary.james@icloud.com,0,0,0,0,1,10,0,0,0,1,0,0,0,0,0,0,mary
149,megan_wilson4321@hotmail.com,4321,3,1,1,0,16,0,0,1,0,0,0,0,0,0,0,megan
150,emily_clark.91@mail.service.com,91,1,1,1,1,14,0,0,0,0,0,1,0,0,0,0,emily
151,Kaleigh72@mail.com,72,2,1,0,0,9,0,0,0,0,1,0,0,0,0,0,Kaleigh72
152,Jed_Gutmann-Heidenreich18@protonmail.com,18,0,1,1,0,25,0,0,0,0,0,0,0,1,0,0,Jed
153,james.jones00@gmail.com,00,0,1,0,1,13,0,1,0,0,0,0,0,0,0,0,james
154,tyler_hayes1986@gmail.com,1986,1,1,1,0,15,0,1,0,0,0,0,0,0,0,0,tyler
155,thomas.hall@gmail.com,0,3,0,0,1,11,0,1,0,0,0,0,0,0,0,0,thomas
156,Claudia.Osinski-Pollich46@gmail.com,46,3,1,0,1,25,0,1,0,0,0,0,0,0,0,0,Claudia
157,john.smith@gmail.com,0,3,0,0,1,10,0,1,0,0,0,0,0,0,0,0,john
158,andrew.james64@hotmail.com,64,2,1,0,1,14,0,0,1,0,0,0,0,0,0,0,andrew
159,logan_1095johnson@outlook.com,1095,3,1,1,0,17,0,0,0,0,0,0,1,0,0,0,logan
160,Rhea.Gislason63@mail.com,63,2,1,0,1,15,0,0,0,0,1,0,0,0,0,0,Rhea
161,Gerson.Feest71@gmail.com,71,2,1,0,1,14,0,1,0,0,0,0,0,0,0,0,Gerson
162,carter.james99@hotmail.com,99,0,1,0,1,14,0,0,1,0,0,0,0,0,0,0,carter
163,Cali_Zieme24@aol.com,24,2,1,1,0,12,1,0,0,0,0,0,0,0,0,0,Cali
164,joseph.adams@gmail.com,0,3,0,0,1,12,0,1,0,0,0,0,0,0,0,0,joseph
165,lily_thompson5678@aol.com,5678,2,1,1,0,17,1,0,0,0,0,0,0,0,0,0,lily
166,Julianne_Larkin39@yahoo.com,39,3,1,1,0,17,0,0,0,0,0,0,0,0,0,1,Julianne
167,daniel_clark@icloud.com,0,0,0,1,0,12,0,0,0,1,0,0,0,0,0,0,daniel
168,stephanie.2002clark@gmail.com,2002,0,1,0,1,19,0,1,0,0,0,0,0,0,0,0,stephanie
169,laura.baker45@icloud.com,45,0,1,0,1,13,0,0,0,1,0,0,0,0,0,0,laura
170,robert23_spark@protonmail.com,23,0,1,1,0,14,0,0,0,0,0,0,0,1,0,0,robert23
171,Jewell.Stark@aol.com,0,2,0,0,1,12,1,0,0,0,0,0,0,0,0,0,Jewell
172,Shyann_Herzog14@aol.com,14,2,1,1,0,15,1,0,0,0,0,0,0,0,0,0,Shyann
173,megan_patel1994@gmail.com,1994,0,1,1,0,15,0,1,0,0,0,0,0,0,0,0,megan
174,ethan_bell1988@gmail.com,1988,1,1,1,0,14,0,1,0,0,0,0,0,0,0,0,ethan
175,ryan_watson2001@hotmail.com,2001,0,1,1,0,15,0,0,1,0,0,0,0,0,0,0,ryan
176,christopher89_bell@sub.company.com,89,1,1,1,0,18,0,0,0,0,0,1,0,0,0,0,christopher89
177,Shaniya11@gmail.com,11,3,1,0,0,9,0,1,0,0,0,0,0,0,0,0,Shaniya11
178,Aurore29@tutanota.com,29,0,1,0,0,8,0,0,0,0,0,0,0,0,1,0,Aurore29
179,matthew.hill1802@gmail.com,1802,3,1,0,1,16,0,1,0,0,0,0,0,0,0,0,matthew
180,Jordi_Aufderhar56@gmail.com,56,2,1,1,0,17,0,1,0,0,0,0,0,0,0,0,Jordi
181,caleb.phillips67@icloud.com,67,2,1,0,1,16,0,0,0,1,0,0,0,0,0,0,caleb
182,tyler.hayes86@gmail.com,86,1,1,0,1,13,0,1,0,0,0,0,0,0,0,0,tyler
183,Cayla82@tutanota.com,82,1,1,0,0,7,0,0,0,0,0,0,0,0,1,0,Cayla82
184,zoe_bryant43219@aol.com,43219,2,1,1,0,15,1,0,0,0,0,0,0,0,0,0,zoe
185,Heaven8@yahoo.com,8,3,1,0,0,7,0,0,0,0,0,0,0,0,0,1,Heaven8
186,Tyler_Walter@gmail.com,0,3,0,1,0,12,0,1,0,0,0,0,0,0,0,0,Tyler
187,ryan.watson01@hotmail.com,01,0,1,0,1,13,0,0,1,0,0,0,0,0,0,0,ryan
188,david_2000@aol.com,2000,0,1,1,0,10,1,0,0,0,0,0,0,0,0,0,david
189,margaret.harris@outlook.com,0,3,0,0,1,15,0,0,0,0,0,0,1,0,0,0,margaret
190,Johnpaul.Robel68@tutanota.com,68,2,1,0,1,16,0,0,0,0,0,0,0,0,1,0,Johnpaul
191,alice_3890.brown@company.co.uk,3890,3,1,1,1,16,0,0,0,0,0,1,0,0,0,0,alice
192,hailey_price1239@protonmail.com,1239,0,1,1,0,16,0,0,0,0,0,0,0,1,0,0,hailey
193,rachel_evans2006@gmail.com,2006,0,1,1,0,16,0,1,0,0,0,0,0,0,0,0,rachel
194,chris_lee8769@hotmail.com,8769,3,1,1,0,13,0,0,1,0,0,0,0,0,0,0,chris
195,Napoleon_Braun@protonmail.com,0,0,0,1,0,14,0,0,0,0,0,0,0,1,0,0,Napoleon
196,olivia24_flash@gmail.com,24,3,1,1,0,14,0,1,0,0,0,0,0,0,0,0,olivia24
197,michael.wilson@aol.com,0,2,0,0,1,14,1,0,0,0,0,0,0,0,0,0,michael
198,mary.bryant@outlook.com,0,3,0,0,1,11,0,0,0,0,0,0,1,0,0,0,mary
199,Dangelo.Gorczany30@aol.com,30,2,1,0,1,18,1,0,0,0,0,0,0,0,0,0,Dangelo
200,Gianni72@outlook.com,72,2,1,0,0,8,0,0,0,0,0,0,1,0,0,0,Gianni72
201,henry.thomas1693@gmail.com,1693,3,1,0,1,16,0,1,0,0,0,0,0,0,0,0,henry
202,lucy.green1749@gmail.com,1749,3,1,0,1,14,0,1,0,0,0,0,0,0,0,0,lucy
203,david.thomas@gmail.com,0,3,0,0,1,12,0,1,0,0,0,0,0,0,0,0,david
204,anna.hall87@yahoo.com,87,1,1,0,1,11,0,0,0,0,0,0,0,0,0,1,anna
205,Dejuan_Herzog47@icloud.com,47,0,1,1,0,15,0,0,0,1,0,0,0,0,0,0,Dejuan
206,olivia.smith999@yahoo.com,999,3,1,0,1,15,0,0,0,0,0,0,0,0,0,1,olivia
207,Alanna.Connelly84@outlook.com,84,1,1,0,1,17,0,0,0,0,0,0,1,0,0,0,Alanna
208,Queenie55@gmail.com,55,2,1,0,0,9,0,1,0,0,0,0,0,0,0,0,Queenie55
209,mary.miller@gmail.com,0,3,0,0,1,11,0,1,0,0,0,0,0,0,0,0,mary
210,hailey.sanders67@gmail.com,67,2,1,0,1,16,0,1,0,0,0,0,0,0,0,0,hailey
211,joshua_carter1980@gmail.com,1980,1,1,1,0,17,0,1,0,0,0,0,0,0,0,0,joshua
212,james.walker@outlook.com,0,3,0,0,1,12,0,0,0,0,0,0,1,0,0,0,james
213,Cassandra_Flatley54@gmail.com,54,2,1,1,0,19,0,1,0,0,0,0,0,0,0,0,Cassandra
214,william.green@aol.com,0,2,0,0,1,13,1,0,0,0,0,0,0,0,0,0,william
215,sarah.miller@protonmail.com,0,0,0,0,1,12,0,0,0,0,0,0,0,1,0,0,sarah
216,nathan.brooks@icloud.com,0,0,0,0,1,13,0,0,0,1,0,0,0,0,0,0,nathan
217,Delphine8@tutanota.com,8,0,1,0,0,9,0,0,0,0,0,0,0,0,1,0,Delphine8
218,Adela_Mertz@mail.com,0,1,0,1,0,11,0,0,0,0,1,0,0,0,0,0,Adela
219,alexis.cooper92@gmail.com,92,1,1,0,1,15,0,1,0,0,0,0,0,0,0,0,alexis
220,jason_brown1985@gmail.com,1985,1,1,1,0,15,0,1,0,0,0,0,0,0,0,0,jason
221,daniel.phillips@hotmail.com,0,3,0,0,1,15,0,0,1,0,0,0,0,0,0,0,daniel
222,amelia.simmons@yahoo.com,0,3,0,0,1,14,0,0,0,0,0,0,0,0,0,1,amelia
223,Jonatan.Kassulke@gmail.com,0,3,0,0,1,16,0,1,0,0,0,0,0,0,0,0,Jonatan
224,ben_4561doe@gmail.com,4561,3,1,1,0,11,0,1,0,0,0,0,0,0,0,0,ben
225,jason.barnes90@gmail.com,90,1,1,0,1,14,0,1,0,0,0,0,0,0,0,0,jason
226,laura1990_davis@gmail.com,1990,1,1,1,0,15,0,1,0,0,0,0,0,0,0,0,laura1990
227,Oleta44@protonmail.com,44,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,Oleta44
228,olivia2003_clark@hotmail.com,2003,0,1,1,0,16,0,0,1,0,0,0,0,0,0,0,olivia2003
229,anna1999@outlook.com,1999,0,1,0,0,8,0,0,0,0,0,0,1,0,0,0,anna1999
230,rachel.perez45@icloud.com,45,0,1,0,1,14,0,0,0,1,0,0,0,0,0,0,rachel
231,Juston81@outlook.com,81,1,1,0,0,8,0,0,0,0,0,0,1,0,0,0,Juston81
232,Percy92@protonmail.com,92,1,1,0,0,7,0,0,0,0,0,0,0,1,0,0,Percy92
233,Markus.Goldner41@gmail.com,41,3,1,0,1,16,0,1,0,0,0,0,0,0,0,0,Markus
234,daniel_scott1980@outlook.com,1980,1,1,1,0,16,0,0,0,0,0,0,1,0,0,0,daniel
235,Adelle_Rolfson24@gmail.com,24,3,1,1,0,16,0,1,0,0,0,0,0,0,0,0,Adelle
236,daniel.wood@outlook.com,0,3,0,0,1,11,0,0,0,0,0,0,1,0,0,0,daniel
237,catherine.allen@icloud.com,0,0,0,0,1,15,0,0,0,1,0,0,0,0,0,0,catherine
238,Janae99@gmail.com,99,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0,Janae99
239,edward.walker1756@gmail.com,1756,3,1,0,1,17,0,1,0,0,0,0,0,0,0,0,edward
240,laura88_smith@yahoo.com,88,1,1,1,0,13,0,0,0,0,0,0,0,0,0,1,laura88
241,susan.green@yahoo.com,0,3,0,0,1,11,0,0,0,0,0,0,0,0,0,1,susan
242,Gerson_Larson99@gmail.com,99,0,1,1,0,15,0,1,0,0,0,0,0,0,0,0,Gerson
243,Marianna_Pfeffer@gmail.com,0,3,0,1,0,16,0,1,0,0,0,0,0,0,0,0,Marianna
244,Zackery_Rippin91@gmail.com,91,1,1,1,0,16,0,1,0,0,0,0,0,0,0,0,Zackery
245,Moshe_Hilpert@tutanota.com,0,0,0,1,0,13,0,0,0,0,0,0,0,0,1,0,Moshe
246,eliza.jackson@hotmail.com,0,3,0,0,1,13,0,0,1,0,0,0,0,0,0,0,eliza
247,abigail_cook1992@gmail.com,1992,1,1,1,0,16,0,1,0,0,0,0,0,0,0,0,abigail
248,john.doe1990@sub.domain.com,1990,1,1,0,1,12,0,0,0,0,0,1,0,0,0,0,john
249,robert_white1990@gmail.com,1990,1,1,1,0,16,0,1,0,0,0,0,0,0,0,0,robert
250,anna@harris@icloud.com,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,anna
251,sophia87_blaze@outlook.com,87,1,1,1,0,14,0,0,0,0,0,0,1,0,0,0,sophia87
252,hannah.bryant@aol.com,0,2,0,0,1,13,1,0,0,0,0,0,0,0,0,0,hannah
253,kevin57_flame@outlook.com,57,2,1,1,0,13,0,0,0,0,0,0,1,0,0,0,kevin57
254,sophia.jones03@gmail.com,03,0,1,0,1,14,0,1,0,0,0,0,0,0,0,0,sophia
255,hailey88_flame@protonmail.com,88,1,1,1,0,14,0,0,0,0,0,0,0,1,0,0,hailey88
256,Julien80@tutanota.com,80,1,1,0,0,8,0,0,0,0,0,0,0,0,1,0,Julien80
257,Gretchen.Nikolaus33@gmail.com,33,3,1,0,1,19,0,1,0,0,0,0,0,0,0,0,Gretchen
258,samuel.morgan@gmail.com,0,3,0,0,1,13,0,1,0,0,0,0,0,0,0,0,samuel
259,emily_smith2006@outlook.com,2006,0,1,1,0,15,0,0,0,0,0,0,1,0,0,0,emily
