email,username,domain,valid_email,digits,len_digits,len_username,has_underscore,has_dot,has_hyphen,has_special_char,len_capital,age
robert.mitchell@gmail.com,robert.mitchell,gmail.com,True,12345,0,15,0,1,0,1,0,unsure
eliza.brooks1702@gmail.com,eliza.brooks1702,gmail.com,True,1702,4,16,0,1,0,1,0,unsure
emily.wood1696@gmail.com,emily.wood1696,gmail.com,True,1696,4,14,0,1,0,1,0,unsure
alexis43_flare@gmail.com,alexis43_flare,gmail.com,True,43,2,14,1,0,0,0,0,unsure
Roel37@yahoo.com,Roel37,yahoo.com,True,37,2,6,0,0,0,0,1,unsure
david66_glow@hotmail.com,david66_glow,hotmail.com,True,66,2,12,1,0,0,0,0,old
madeline1986_ross@aol.com,madeline1986_ross,aol.com,True,1986,4,17,1,0,0,0,0,medium
samantha1996_green@icloud.com,samantha1996_green,icloud.com,True,1996,4,18,1,0,0,0,0,young
madison1991_bell@outlook.com,madison1991_bell,outlook.com,True,1991,4,16,1,0,0,0,0,medium
john.morris@gmail.com,john.morris,gmail.com,True,12345,0,11,0,1,0,1,0,medium
Clement.Stamm37@gmail.com,Clement.Stamm37,gmail.com,True,37,2,15,0,1,0,1,2,unsure
emma.johnson1999@outlook.com,emma.johnson1999,outlook.com,True,1999,4,16,0,1,0,1,0,young
Alanna.Bode-Altenwerth66@yahoo.com,Alanna.Bode-Altenwerth66,yahoo.com,True,66,2,24,0,1,1,1,3,old
rebecca.scott@outlook.com,rebecca.scott,outlook.com,True,12345,0,13,0,1,0,1,0,young
Chanelle71@outlook.com,Chanelle71,outlook.com,True,71,2,10,0,0,0,0,1,old
martha@wright@yahoo.com,marthawright,yahoo.com,True,12345,0,12,0,0,0,0,0,unsure
logan_turner1998@outlook.com,logan_turner1998,outlook.com,True,1998,4,16,1,0,0,0,0,young
emily.smith06@outlook.com,emily.smith06,outlook.com,True,06,2,13,0,1,0,1,0,young
kevin_2003thompson@gmail.com,kevin_2003thompson,gmail.com,True,2003,4,18,1,0,0,0,0,young
mark.smith2004@gmail.com,mark.smith2004,gmail.com,True,2004,4,14,0,1,0,1,0,young
Kameron21@mail.com,Kameron21,mail.com,True,21,2,9,0,0,0,0,1,unsure
thomas.hall@gmail.com,thomas.hall,gmail.com,True,12345,0,11,0,1,0,1,0,medium
logan.turner98@outlook.com,logan.turner98,outlook.com,True,98,2,14,0,1,0,1,0,young
Joana.Zboncak@icloud.com,Joana.Zboncak,icloud.com,True,12345,0,13,0,1,0,1,2,old
rachel.perez45@icloud.com,rachel.perez45,icloud.com,True,45,2,14,0,1,0,1,0,unsure
Giovanni_Tremblay60@aol.com,Giovanni_Tremblay60,aol.com,True,60,2,19,1,0,0,0,2,old
megan.wilson21@hotmail.com,megan.wilson21,hotmail.com,True,21,2,14,0,1,0,1,0,unsure
rebecca.bryant@protonmail.com,rebecca.bryant,protonmail.com,True,12345,0,14,0,1,0,1,0,unsure
Neal.McGlynn@gmail.com,Neal.McGlynn,gmail.com,True,12345,0,12,0,1,0,1,3,old
rachel11_flare@icloud.com,rachel11_flare,icloud.com,True,11,2,14,1,0,0,0,0,unsure
Mekhi60@icloud.com,Mekhi60,icloud.com,True,60,2,7,0,0,0,0,1,old
Evan93@yahoo.com,Evan93,yahoo.com,True,93,2,6,0,0,0,0,1,medium
rachel.bailey1723@gmail.com,rachel.bailey1723,gmail.com,True,1723,4,17,0,1,0,1,0,unsure
hannah_8764hill@icloud.com,hannah_8764hill,icloud.com,True,8764,4,15,1,0,0,0,0,unsure
sophia.jones03@gmail.com,sophia.jones03,gmail.com,True,03,2,14,0,1,0,1,0,young
elizabeth.roberts@hotmail.com,elizabeth.roberts,hotmail.com,True,12345,0,17,0,1,0,1,0,unsure
Susan13@tutanota.com,Susan13,tutanota.com,True,13,2,7,0,0,0,0,1,medium
sarah.carter@yahoo,sarah.carter,yahoo.com,False,12345,0,12,0,1,0,1,0,unsure
madeline.ross05@aol.com,madeline.ross05,aol.com,True,05,2,15,0,1,0,1,0,young
victoria_james2005@gmail.com,victoria_james2005,gmail.com,True,2005,4,18,1,0,0,0,0,young
Jaclyn_Cole@gmail.com,Jaclyn_Cole,gmail.com,True,12345,0,11,1,0,0,0,2,unsure
Shawn.Rowe58@tutanota.com,Shawn.Rowe58,tutanota.com,True,58,2,12,0,1,0,1,2,old
logan_wright2003@gmail.com,logan_wright2003,gmail.com,True,2003,4,16,1,0,0,0,0,young
thomas.jones@hotmail.com,thomas.jones,hotmail.com,True,12345,0,12,0,1,0,1,0,young
emma76_flash@gmail.com,emma76_flash,gmail.com,True,76,2,12,1,0,0,0,0,medium
nathan_martin2003@gmail.com,nathan_martin2003,gmail.com,True,2003,4,17,1,0,0,0,0,young
Adaline.Mills@gmail.com,Adaline.Mills,gmail.com,True,12345,0,13,0,1,0,1,2,old
Zoie73@outlook.com,Zoie73,outlook.com,True,73,2,6,0,0,0,0,1,old
jacob_green2005@yahoo.com,jacob_green2005,yahoo.com,True,2005,4,15,1,0,0,0,0,young
sophia.adams@yahoo.com,sophia.adams,yahoo.com,True,12345,0,12,0,1,0,1,0,unsure
samuel.morgan@gmail.com,samuel.morgan,gmail.com,True,12345,0,13,0,1,0,1,0,unsure
matthew.adams@protonmail.com,matthew.adams,protonmail.com,True,12345,0,13,0,1,0,1,0,unsure
Zita.Herman35@outlook.com,Zita.Herman35,outlook.com,True,35,2,13,0,1,0,1,2,old
Darrel_Roberts15@protonmail.com,Darrel_Roberts15,protonmail.com,True,15,2,16,1,0,0,0,2,unsure
Nathen.Boehm@protonmail.com,Nathen.Boehm,protonmail.com,True,12345,0,12,0,1,0,1,2,old
lily.thompson57@aol.com,lily.thompson57,aol.com,True,57,2,15,0,1,0,1,0,old
noah5563@yahoo.com,noah5563,yahoo.com,True,5563,4,8,0,0,0,0,0,young
adam.henderson32@gmail.com,adam.henderson32,gmail.com,True,32,2,16,0,1,0,1,0,unsure
andrew36_burn@hotmail.com,andrew36_burn,hotmail.com,True,36,2,13,1,0,0,0,0,unsure
Jayden48@mail.com,Jayden48,mail.com,True,48,2,8,0,0,0,0,1,unsure
Patrick.Johnston@aol.com,Patrick.Johnston,aol.com,True,12345,0,16,0,1,0,1,2,unsure
Julien_Mayert51@aol.com,Julien_Mayert51,aol.com,True,51,2,15,1,0,0,0,2,old
matthew.baker@hotmail.com,matthew.baker,hotmail.com,True,12345,0,13,0,1,0,1,0,young
Sofia64@mail.com,Sofia64,mail.com,True,64,2,7,0,0,0,0,1,old
Meredith_Hansen@gmail.com,Meredith_Hansen,gmail.com,True,12345,0,15,1,0,0,0,2,unsure
2003_samuel_white@organization.org,2003_samuel_white,organization.org,True,2003,4,17,1,0,0,0,0,young
amanda.king99@hotmail.com,amanda.king99,hotmail.com,True,99,2,13,0,1,0,1,0,young
Nora_Turcotte@icloud.com,Nora_Turcotte,icloud.com,True,12345,0,13,1,0,0,0,2,medium
Hailee_Kuhic58@aol.com,Hailee_Kuhic58,aol.com,True,58,2,14,1,0,0,0,2,old
daniel.taylor88@outlook.com,daniel.taylor88,outlook.com,True,88,2,15,0,1,0,1,0,medium
Melody.OReilly32@tutanota.com,Melody.OReilly32,tutanota.com,True,32,2,16,0,1,0,1,3,unsure
paul.baker@aol.com,paul.baker,aol.com,True,12345,0,10,0,1,0,1,0,medium
Frank_Herzog@tutanota.com,Frank_Herzog,tutanota.com,True,12345,0,12,1,0,0,0,2,unsure
michael_93.johnson@college.edu,michael_93.johnson,college.edu,True,93,2,18,1,1,0,1,0,medium
james21_shine@gmail.com,james21_shine,gmail.com,True,21,2,13,1,0,0,0,0,medium
Pansy17@protonmail.com,Pansy17,protonmail.com,True,17,2,7,0,0,0,0,1,unsure
amanda_williams12356@icloud.com,amanda_williams12356,icloud.com,True,12356,5,20,1,0,0,0,0,unsure
"stephen.morris@yahoo,com",stephen.morris,yahoo.com,False,12345,0,14,0,1,0,1,0,young
david.clark@protonmail.com,david.clark,protonmail.com,True,12345,0,11,0,1,0,1,0,unsure
caleb.phillips67@icloud.com,caleb.phillips67,icloud.com,True,67,2,16,0,1,0,1,0,old
1987_rachel.s@gmail.com,1987_rachel.s,gmail.com,True,1987,4,13,1,1,0,1,0,medium
margaret.anderson1782@gmail.com,margaret.anderson1782,gmail.com,True,1782,4,21,0,1,0,1,0,unsure
matthew.lewis@gmail.com,matthew.lewis,gmail.com,True,12345,0,13,0,1,0,1,0,unsure
Carlie.Conroy@aol.com,Carlie.Conroy,aol.com,True,12345,0,13,0,1,0,1,2,old
claire81_flicker@yahoo.com,claire81_flicker,yahoo.com,True,81,2,16,1,0,0,0,0,medium
joshua.bell00@gmail.com,joshua.bell00,gmail.com,True,00,2,13,0,1,0,1,0,young
mason.watson04@hotmail.com,mason.watson04,hotmail.com,True,04,2,14,0,1,0,1,0,young
victoria_kelly2003@protonmail.com,victoria_kelly2003,protonmail.com,True,2003,4,18,1,0,0,0,0,young
jason.barnes90@gmail.com,jason.barnes90,gmail.com,True,90,2,14,0,1,0,1,0,medium
simon.peters@hotmail.com,simon.peters,hotmail.com,True,12345,0,12,0,1,0,1,0,young
martha.young1792@gmail.com,martha.young1792,gmail.com,True,1792,4,16,0,1,0,1,0,unsure
Nikolas54@outlook.com,Nikolas54,outlook.com,True,54,2,9,0,0,0,0,1,old
caleb78_bright@icloud.com,caleb78_bright,icloud.com,True,78,2,14,1,0,0,0,0,medium
james_jones10000@gmail.com,james_jones10000,gmail.com,True,10000,5,16,1,0,0,0,0,young
Carroll_Armstrong92@mail.com,Carroll_Armstrong92,mail.com,True,92,2,19,1,0,0,0,2,medium
Annabelle.Schaden-Jakubowski82@icloud.com,Annabelle.Schaden-Jakubowski82,icloud.com,True,82,2,30,0,1,1,1,3,medium
mary.james@icloud.com,mary.james,icloud.com,True,12345,0,10,0,1,0,1,0,medium
megan_wilson4321@hotmail.com,megan_wilson4321,hotmail.com,True,4321,4,16,1,0,0,0,0,unsure
emily_clark.91@mail.service.com,emily_clark.91,mail.service.com,True,91,2,14,1,1,0,1,0,medium
Kaleigh72@mail.com,Kaleigh72,mail.com,True,72,2,9,0,0,0,0,1,old
Jed_Gutmann-Heidenreich18@protonmail.com,Jed_Gutmann-Heidenreich18,protonmail.com,True,18,2,25,1,0,1,1,3,unsure
james.jones00@gmail.com,james.jones00,gmail.com,True,00,2,13,0,1,0,1,0,young
tyler_hayes1986@gmail.com,tyler_hayes1986,gmail.com,True,1986,4,15,1,0,0,0,0,medium
thomas.hall@gmail@com,thomas.hall,gmail.com,False,12345,0,11,0,1,0,1,0,medium
Claudia.Osinski-Pollich46@gmail.com,Claudia.Osinski-Pollich46,gmail.com,True,46,2,25,0,1,1,1,3,unsure
john.smith@gmail,john.smith,gmail.com,False,12345,0,10,0,1,0,1,0,medium
andrew.james64@hotmail.com,andrew.james64,hotmail.com,True,64,2,14,0,1,0,1,0,old
logan_1095johnson@outlook.com,logan_1095johnson,outlook.com,True,1095,4,17,1,0,0,0,0,unsure
Rhea.Gislason63@mail.com,Rhea.Gislason63,mail.com,True,63,2,15,0,1,0,1,2,old
Gerson.Feest71@gmail.com,Gerson.Feest71,gmail.com,True,71,2,14,0,1,0,1,2,old
carter.james99@hotmail.com,carter.james99,hotmail.com,True,99,2,14,0,1,0,1,0,young
Cali_Zieme24@aol.com,Cali_Zieme24,aol.com,True,24,2,12,1,0,0,0,2,unsure
"joseph.adams@gmail,",joseph.adams,gmail.com,False,12345,0,12,0,1,0,1,0,unsure
lily_thompson5678@aol.com,lily_thompson5678,aol.com,True,5678,4,17,1,0,0,0,0,unsure
Julianne_Larkin39@yahoo.com,Julianne_Larkin39,yahoo.com,True,39,2,17,1,0,0,0,2,unsure
daniel_clark@icloud,daniel_clark,icloud.com,False,12345,0,12,1,0,0,0,0,medium
stephanie.2002clark@gmail.com,stephanie.2002clark,gmail.com,True,2002,4,19,0,1,0,1,0,young
laura.baker45@icloud.com,laura.baker45,icloud.com,True,45,2,13,0,1,0,1,0,unsure
robert23_spark@protonmail.com,robert23_spark,protonmail.com,True,23,2,14,1,0,0,0,0,unsure
Jewell.Stark@aol.com,Jewell.Stark,aol.com,True,12345,0,12,0,1,0,1,2,old
Shyann_Herzog14@aol.com,Shyann_Herzog14,aol.com,True,14,2,15,1,0,0,0,2,unsure
megan_patel1994@gmail.com,megan_patel1994,gmail.com,True,1994,4,15,1,0,0,0,0,medium
ethan_bell1988@gmail.com,ethan_bell1988,gmail.com,True,1988,4,14,1,0,0,0,0,medium
ryan_watson2001@hotmail.com,ryan_watson2001,hotmail.com,True,2001,4,15,1,0,0,0,0,young
christopher89_bell@sub.company.com,christopher89_bell,sub.company.com,True,89,2,18,1,0,0,0,0,medium
Shaniya11@gmail.com,Shaniya11,gmail.com,True,11,2,9,0,0,0,0,1,unsure
Aurore29@tutanota.com,Aurore29,tutanota.com,True,29,2,8,0,0,0,0,1,unsure
matthew.hill1802@gmail.com,matthew.hill1802,gmail.com,True,1802,4,16,0,1,0,1,0,unsure
Jordi_Aufderhar56@gmail.com,Jordi_Aufderhar56,gmail.com,True,56,2,17,1,0,0,0,2,old
tyler.hayes86@gmail.com,tyler.hayes86,gmail.com,True,86,2,13,0,1,0,1,0,medium
Cayla82@tutanota.com,Cayla82,tutanota.com,True,82,2,7,0,0,0,0,1,medium
zoe_bryant43219@aol.com,zoe_bryant43219,aol.com,True,43219,5,15,1,0,0,0,0,unsure
Heaven8@yahoo.com,Heaven8,yahoo.com,True,8,1,7,0,0,0,0,1,unsure
Tyler_Walter@gmail.com,Tyler_Walter,gmail.com,True,12345,0,12,1,0,0,0,2,unsure
ryan.watson01@hotmail.com,ryan.watson01,hotmail.com,True,01,2,13,0,1,0,1,0,young
david_2000@aol.com,david_2000,aol.com,True,2000,4,10,1,0,0,0,0,young
margaret.harris@outlookcom,margaret.harris,outlook.com,False,12345,0,15,0,1,0,1,0,unsure
Johnpaul.Robel68@tutanota.com,Johnpaul.Robel68,tutanota.com,True,68,2,16,0,1,0,1,2,old
alice_3890.brown@company.co.uk,alice_3890.brown,company.co.uk,True,3890,4,16,1,1,0,1,0,unsure
hailey_price1239@protonmail.com,hailey_price1239,protonmail.com,True,1239,4,16,1,0,0,0,0,unsure
rachel_evans2006@gmail.com,rachel_evans2006,gmail.com,True,2006,4,16,1,0,0,0,0,young
chris_lee8769@hotmail.com,chris_lee8769,hotmail.com,True,8769,4,13,1,0,0,0,0,unsure
Napoleon_Braun@protonmail.com,Napoleon_Braun,protonmail.com,True,12345,0,14,1,0,0,0,2,unsure
olivia24_flash@gmail.com,olivia24_flash,gmail.com,True,24,2,14,1,0,0,0,0,unsure
michael.wilson@aolcom,michael.wilson,aol.com,False,12345,0,14,0,1,0,1,0,unsure
mary.bryant@outlook.com,mary.bryant,outlook.com,True,12345,0,11,0,1,0,1,0,medium
Dangelo.Gorczany30@aol.com,Dangelo.Gorczany30,aol.com,True,30,2,18,0,1,0,1,2,unsure
Gianni72@outlook.com,Gianni72,outlook.com,True,72,2,8,0,0,0,0,1,old
henry.thomas1693@gmail.com,henry.thomas1693,gmail.com,True,1693,4,16,0,1,0,1,0,unsure
lucy.green1749@gmail.com,lucy.green1749,gmail.com,True,1749,4,14,0,1,0,1,0,unsure
david.thomas@gmail.com,david.thomas,gmail.com,True,12345,0,12,0,1,0,1,0,unsure
anna.hall87@yahoo.com,anna.hall87,yahoo.com,True,87,2,11,0,1,0,1,0,medium
Dejuan_Herzog47@icloud.com,Dejuan_Herzog47,icloud.com,True,47,2,15,1,0,0,0,2,unsure
olivia.smith999@yahoo.com,olivia.smith999,yahoo.com,True,999,3,15,0,1,0,1,0,unsure
Alanna.Connelly84@outlook.com,Alanna.Connelly84,outlook.com,True,84,2,17,0,1,0,1,2,medium
Queenie55@gmail.com,Queenie55,gmail.com,True,55,2,9,0,0,0,0,1,old
"mary.miller@gmail,com",mary.miller,gmail.com,False,12345,0,11,0,1,0,1,0,medium
hailey.sanders67@gmail.com,hailey.sanders67,gmail.com,True,67,2,16,0,1,0,1,0,old
joshua_carter1980@gmail.com,joshua_carter1980,gmail.com,True,1980,4,17,1,0,0,0,0,medium
james.walker@outlook.com,james.walker,outlook.com,True,12345,0,12,0,1,0,1,0,unsure
Cassandra_Flatley54@gmail.com,Cassandra_Flatley54,gmail.com,True,54,2,19,1,0,0,0,2,old
william.green@aol.com,william.green,aol.com,True,12345,0,13,0,1,0,1,0,unsure
sarah.miller@protonmailcom,sarah.miller,protonmail.com,False,12345,0,12,0,1,0,1,0,unsure
nathan.brooks@icloud.com,nathan.brooks,icloud.com,True,12345,0,13,0,1,0,1,0,unsure
Delphine8@tutanota.com,Delphine8,tutanota.com,True,8,1,9,0,0,0,0,1,unsure
Adela_Mertz@mail.com,Adela_Mertz,mail.com,True,12345,0,11,1,0,0,0,2,old
alexis.cooper92@gmail.com,alexis.cooper92,gmail.com,True,92,2,15,0,1,0,1,0,medium
jason_brown1985@gmail.com,jason_brown1985,gmail.com,True,1985,4,15,1,0,0,0,0,medium
"daniel.phillips@hotmail,",daniel.phillips,hotmail.com,False,12345,0,15,0,1,0,1,0,unsure
amelia.simmons@yahoo.com,amelia.simmons,yahoo.com,True,12345,0,14,0,1,0,1,0,young
Jonatan.Kassulke@gmail.com,Jonatan.Kassulke,gmail.com,True,12345,0,16,0,1,0,1,2,unsure
ben_4561doe@gmail.com,ben_4561doe,gmail.com,True,4561,4,11,1,0,0,0,0,unsure
laura1990_davis@gmail.com,laura1990_davis,gmail.com,True,1990,4,15,1,0,0,0,0,medium
Oleta44@protonmail.com,Oleta44,protonmail.com,True,44,2,7,0,0,0,0,1,unsure
olivia2003_clark@hotmail.com,olivia2003_clark,hotmail.com,True,2003,4,16,1,0,0,0,0,young
anna1999@outlook.com,anna1999,outlook.com,True,1999,4,8,0,0,0,0,0,young
Juston81@outlook.com,Juston81,outlook.com,True,81,2,8,0,0,0,0,1,medium
Percy92@protonmail.com,Percy92,protonmail.com,True,92,2,7,0,0,0,0,1,medium
Markus.Goldner41@gmail.com,Markus.Goldner41,gmail.com,True,41,2,16,0,1,0,1,2,unsure
daniel_scott1980@outlook.com,daniel_scott1980,outlook.com,True,1980,4,16,1,0,0,0,0,medium
Adelle_Rolfson24@gmail.com,Adelle_Rolfson24,gmail.com,True,24,2,16,1,0,0,0,2,unsure
daniel.wood@outlook..,daniel.wood,outlook.com,False,12345,0,11,0,1,0,1,0,medium
catherine.allen@icloud.com,catherine.allen,icloud.com,True,12345,0,15,0,1,0,1,0,unsure
Janae99@gmail.com,Janae99,gmail.com,True,99,2,7,0,0,0,0,1,young
edward.walker1756@gmail.com,edward.walker1756,gmail.com,True,1756,4,17,0,1,0,1,0,unsure
laura88_smith@yahoo.com,laura88_smith,yahoo.com,True,88,2,13,1,0,0,0,0,medium
susan.green@yahoo..com,susan.green,yahoo.com,False,12345,0,11,0,1,0,1,0,medium
Gerson_Larson99@gmail.com,Gerson_Larson99,gmail.com,True,99,2,15,1,0,0,0,2,young
Marianna_Pfeffer@gmail.com,Marianna_Pfeffer,gmail.com,True,12345,0,16,1,0,0,0,2,unsure
Zackery_Rippin91@gmail.com,Zackery_Rippin91,gmail.com,True,91,2,16,1,0,0,0,2,medium
Moshe_Hilpert@tutanota.com,Moshe_Hilpert,tutanota.com,True,12345,0,13,1,0,0,0,2,old
eliza.jackson@hotmail.com,eliza.jackson,hotmail.com,True,12345,0,13,0,1,0,1,0,young
abigail_cook1992@gmail.com,abigail_cook1992,gmail.com,True,1992,4,16,1,0,0,0,0,medium
john.doe1990@sub.domain.com,john.doe1990,sub.domain.com,True,1990,4,12,0,1,0,1,0,medium
robert_white1990@gmail.com,robert_white1990,gmail.com,True,1990,4,16,1,0,0,0,0,medium
anna@harris@icloud.com,annaharris,icloud.com,True,12345,0,10,0,0,0,0,0,unsure
sophia87_blaze@outlook.com,sophia87_blaze,outlook.com,True,87,2,14,1,0,0,0,0,medium
"hannah.bryant@aol,com",hannah.bryant,aol.com,False,12345,0,13,0,1,0,1,0,unsure
kevin57_flame@outlook.com,kevin57_flame,outlook.com,True,57,2,13,1,0,0,0,0,old
hailey88_flame@protonmail.com,hailey88_flame,protonmail.com,True,88,2,14,1,0,0,0,0,medium
Julien80@tutanota.com,Julien80,tutanota.com,True,80,2,8,0,0,0,0,1,medium
Gretchen.Nikolaus33@gmail.com,Gretchen.Nikolaus33,gmail.com,True,33,2,19,0,1,0,1,2,unsure
"samuel.morgan@gmail,com",samuel.morgan,gmail.com,False,12345,0,13,0,1,0,1,0,unsure
emily_smith2006@outlook.com,emily_smith2006,outlook.com,True,2006,4,15,1,0,0,0,0,young
Olaf_Marks64@gmail.com,Olaf_Marks64,gmail.com,True,64,2,12,1,0,0,0,2,old
peter.jackson@aol.com,peter.jackson,aol.com,True,12345,0,13,0,1,0,1,0,unsure
simon.ward@protonmail.com,simon.ward,protonmail.com,True,12345,0,10,0,1,0,1,0,unsure
Buck.Mohr@gmail.com,Buck.Mohr,gmail.com,True,12345,0,9,0,1,0,1,2,unsure
Carolina.Zieme66@aol.com,Carolina.Zieme66,aol.com,True,66,2,16,0,1,0,1,2,old
daniel1998_scott@outlook.com,daniel1998_scott,outlook.com,True,1998,4,16,1,0,0,0,0,young
zoe7548_anderson@protonmail.com,zoe7548_anderson,protonmail.com,True,7548,4,16,1,0,0,0,0,unsure
daniel.scott80@outlook.com,daniel.scott80,outlook.com,True,80,2,14,0,1,0,1,0,medium
Frances.Zulauf@gmail.com,Frances.Zulauf,gmail.com,True,12345,0,14,0,1,0,1,2,unsure
hannah.james1741@gmail.com,hannah.james1741,gmail.com,True,1741,4,16,0,1,0,1,0,unsure
chloe872_flare@gmail.com,chloe872_flare,gmail.com,True,872,3,14,1,0,0,0,0,unsure
susan.young@gmail.com,susan.young,gmail.com,True,12345,0,11,0,1,0,1,0,medium
dylan1990_richards@gmail.com,dylan1990_richards,gmail.com,True,1990,4,18,1,0,0,0,0,medium
andrew1994_turner@hotmail.com,andrew1994_turner,hotmail.com,True,1994,4,17,1,0,0,0,0,medium
elijah_6230@gmail.com,elijah_6230,gmail.com,True,6230,4,11,1,0,0,0,0,unsure
mason_watson2004@hotmail.com,mason_watson2004,hotmail.com,True,2004,4,16,1,0,0,0,0,young
Bertha.Vandervort54@outlook.com,Bertha.Vandervort54,outlook.com,True,54,2,19,0,1,0,1,2,old
daniel_king1998@gmail.com,daniel_king1998,gmail.com,True,1998,4,15,1,0,0,0,0,young
Kamryn59@icloud.com,Kamryn59,icloud.com,True,59,2,8,0,0,0,0,1,old
Maud.Satterfield@gmail.com,Maud.Satterfield,gmail.com,True,12345,0,16,0,1,0,1,2,unsure
