,email,label,age
87,Adaline.Mills@gmail.com,0.0,-100.0
88,Zoie73@outlook.com,3.0,51.0
89,jacob_green2005@yahoo.com,1.0,19.0
90,sophia.adams@yahoo.com,0.0,-100.0
91,samuel.morgan@gmail.com,0.0,-100.0
92,matthew.adams@protonmail.com,0.0,-100.0
93,Zita.Herman35@outlook.com,3.0,89.0
94,Darrel_Roberts15@protonmail.com,1.0,9.0
95,Nathen.Boehm@protonmail.com,0.0,-100.0
96,lily.thompson57@aol.com,3.0,67.0
97,noah5563@yahoo.com,0.0,-100.0
98,adam.henderson32@gmail.com,3.0,92.0
99,andrew36_burn@hotmail.com,3.0,88.0
100,Jayden48@mail.com,3.0,76.0
101,Patrick.Johnston@aol.com,0.0,-100.0
102,Julien_Mayert51@aol.com,3.0,73.0
103,matthew.baker@hotmail.com,0.0,-100.0
104,Sofia64@mail.com,3.0,60.0
105,Meredith_Hansen@gmail.com,0.0,-100.0
106,2003_samuel_white@organization.org,1.0,21.0
107,amanda.king99@hotmail.com,2.0,25.0
108,Nora_Turcotte@icloud.com,0.0,-100.0
109,Hailee_Kuhic58@aol.com,3.0,66.0
110,daniel.taylor88@outlook.com,2.0,36.0
111,Melody.OReilly32@tutanota.com,3.0,92.0
112,paul.baker@aol.com,0.0,-100.0
113,Frank_Herzog@tutanota.com,0.0,-100.0
114,michael_93.johnson@college.edu,2.0,31.0
115,james21_shine@gmail.com,1.0,3.0
116,madeline.ross05@aol.com,1.0,19.0
117,Pansy17@protonmail.com,1.0,7.0
118,amanda_williams12356@icloud.com,0.0,-100.0
119,david.clark@protonmail.com,0.0,-100.0
120,caleb.phillips67@icloud.com,3.0,57.0
121,1987_rachel.s@gmail.com,2.0,37.0
122,margaret.anderson1782@gmail.com,0.0,-100.0
123,matthew.lewis@gmail.com,0.0,-100.0
124,Carlie.Conroy@aol.com,0.0,-100.0
125,claire81_flicker@yahoo.com,2.0,43.0
126,joshua.bell00@gmail.com,1.0,24.0
127,mason.watson04@hotmail.com,1.0,20.0
128,victoria_kelly2003@protonmail.com,1.0,21.0
129,jason.barnes90@gmail.com,2.0,34.0
130,simon.peters@hotmail.com,0.0,-100.0
131,martha.young1792@gmail.com,0.0,-100.0
132,Nikolas54@outlook.com,3.0,70.0
133,caleb78_bright@icloud.com,2.0,46.0
134,james_jones10000@gmail.com,0.0,-100.0
135,Carroll_Armstrong92@mail.com,2.0,32.0
136,Annabelle.Schaden-Jakubowski82@icloud.com,2.0,42.0
137,mary.james@icloud.com,0.0,-100.0
138,megan_wilson4321@hotmail.com,0.0,-100.0
139,emily_clark.91@mail.service.com,2.0,33.0
140,Kaleigh72@mail.com,3.0,52.0
141,Jed_Gutmann-Heidenreich18@protonmail.com,1.0,6.0
142,james.jones00@gmail.com,1.0,24.0
143,tyler_hayes1986@gmail.com,2.0,38.0
144,Claudia.Osinski-Pollich46@gmail.com,3.0,78.0
145,andrew.james64@hotmail.com,3.0,60.0
146,logan_1095johnson@outlook.com,0.0,-100.0
147,Rhea.Gislason63@mail.com,3.0,61.0
148,Gerson.Feest71@gmail.com,3.0,53.0
149,carter.james99@hotmail.com,2.0,25.0
150,Cali_Zieme24@aol.com,1.0,0.0
151,lily_thompson5678@aol.com,0.0,-100.0
152,Julianne_Larkin39@yahoo.com,3.0,85.0
153,stephanie.2002clark@gmail.com,1.0,22.0
154,laura.baker45@icloud.com,3.0,79.0
155,robert23_spark@protonmail.com,1.0,1.0
156,Jewell.Stark@aol.com,0.0,-100.0
157,Shyann_Herzog14@aol.com,1.0,10.0
158,megan_patel1994@gmail.com,2.0,30.0
159,ethan_bell1988@gmail.com,2.0,36.0
160,ryan_watson2001@hotmail.com,1.0,23.0
161,christopher89_bell@sub.company.com,2.0,35.0
162,Shaniya11@gmail.com,1.0,13.0
163,Aurore29@tutanota.com,3.0,95.0
164,matthew.hill1802@gmail.com,0.0,-100.0
165,Jordi_Aufderhar56@gmail.com,3.0,68.0
166,caleb.phillips67@icloud.com,3.0,57.0
167,tyler.hayes86@gmail.com,2.0,38.0
168,Cayla82@tutanota.com,2.0,42.0
169,zoe_bryant43219@aol.com,0.0,-100.0
170,Heaven8@yahoo.com,0.0,-100.0
171,Tyler_Walter@gmail.com,0.0,-100.0
172,ryan.watson01@hotmail.com,1.0,23.0
173,david_2000@aol.com,1.0,24.0
174,Johnpaul.Robel68@tutanota.com,3.0,56.0
175,alice_3890.brown@company.co.uk,0.0,-100.0
176,hailey_price1239@protonmail.com,0.0,-100.0
177,rachel_evans2006@gmail.com,0.0,-100.0
178,chris_lee8769@hotmail.com,0.0,-100.0
179,Napoleon_Braun@protonmail.com,0.0,-100.0
180,olivia24_flash@gmail.com,1.0,0.0
181,mary.bryant@outlook.com,0.0,-100.0
182,Dangelo.Gorczany30@aol.com,3.0,94.0
183,Gianni72@outlook.com,3.0,52.0
184,henry.thomas1693@gmail.com,0.0,-100.0
185,lucy.green1749@gmail.com,0.0,-100.0
186,david.thomas@gmail.com,0.0,-100.0
187,anna.hall87@yahoo.com,2.0,37.0
188,Dejuan_Herzog47@icloud.com,3.0,77.0
189,olivia.smith999@yahoo.com,0.0,-100.0
190,Alanna.Connelly84@outlook.com,2.0,40.0
191,Queenie55@gmail.com,3.0,69.0
192,hailey.sanders67@gmail.com,3.0,57.0
193,joshua_carter1980@gmail.com,2.0,44.0
194,james.walker@outlook.com,0.0,-100.0
195,Cassandra_Flatley54@gmail.com,3.0,70.0
196,william.green@aol.com,0.0,-100.0
197,nathan.brooks@icloud.com,0.0,-100.0
198,Delphine8@tutanota.com,0.0,-100.0
199,Adela_Mertz@mail.com,0.0,-100.0
200,alexis.cooper92@gmail.com,2.0,32.0
201,jason_brown1985@gmail.com,2.0,39.0
202,amelia.simmons@yahoo.com,0.0,-100.0
203,Jonatan.Kassulke@gmail.com,0.0,-100.0
204,ben_4561doe@gmail.com,0.0,-100.0
205,jason.barnes90@gmail.com,2.0,34.0
206,laura1990_davis@gmail.com,2.0,34.0
207,Oleta44@protonmail.com,3.0,80.0
208,olivia2003_clark@hotmail.com,1.0,21.0
209,anna1999@outlook.com,1.0,25.0
210,rachel.perez45@icloud.com,3.0,79.0
211,Juston81@outlook.com,2.0,43.0
212,Percy92@protonmail.com,2.0,32.0
213,Markus.Goldner41@gmail.com,3.0,83.0
214,daniel_scott1980@outlook.com,2.0,44.0
215,Adelle_Rolfson24@gmail.com,1.0,0.0
216,catherine.allen@icloud.com,0.0,-100.0
217,Janae99@gmail.com,2.0,25.0
218,edward.walker1756@gmail.com,0.0,-100.0
219,laura88_smith@yahoo.com,2.0,36.0
220,susan.green@yahoo..com,0.0,-100.0
221,Gerson_Larson99@gmail.com,2.0,25.0
222,Marianna_Pfeffer@gmail.com,0.0,-100.0
223,Zackery_Rippin91@gmail.com,2.0,33.0
224,Moshe_Hilpert@tutanota.com,0.0,-100.0
225,eliza.jackson@hotmail.com,0.0,-100.0
226,abigail_cook1992@gmail.com,2.0,32.0
227,john.doe1990@sub.domain.com,2.0,34.0
228,robert_white1990@gmail.com,2.0,34.0
229,sophia87_blaze@outlook.com,2.0,37.0
230,kevin57_flame@outlook.com,3.0,67.0
231,sophia.jones03@gmail.com,1.0,21.0
232,hailey88_flame@protonmail.com,2.0,36.0
233,Julien80@tutanota.com,2.0,44.0
234,Gretchen.Nikolaus33@gmail.com,3.0,91.0
235,emily_smith2006@outlook.com,0.0,-100.0
236,Olaf_Marks64@gmail.com,3.0,60.0
237,peter.jackson@aol.com,0.0,-100.0
238,simon.ward@protonmail.com,0.0,-100.0
239,Buck.Mohr@gmail.com,0.0,-100.0
240,Carolina.Zieme66@aol.com,3.0,58.0
241,daniel1998_scott@outlook.com,1.0,26.0
242,zoe7548_anderson@protonmail.com,0.0,-100.0
243,daniel.scott80@outlook.com,2.0,44.0
244,Frances.Zulauf@gmail.com,0.0,-100.0
245,Percy92@protonmail.com,2.0,32.0
246,hannah.james1741@gmail.com,0.0,-100.0
247,chloe872_flare@gmail.com,0.0,-100.0
248,susan.young@gmail.com,0.0,-100.0
249,dylan1990_richards@gmail.com,2.0,34.0
250,andrew1994_turner@hotmail.com,2.0,30.0
251,elijah_6230@gmail.com,0.0,-100.0
252,mason_watson2004@hotmail.com,1.0,20.0
253,Bertha.Vandervort54@outlook.com,3.0,70.0
254,daniel_king1998@gmail.com,1.0,26.0
255,Kamryn59@icloud.com,3.0,65.0
256,Maud.Satterfield@gmail.com,0.0,-100.0
257,emma.walker@icloud.com,0.0,-100.0
258,mary.jones@outlook.com,0.0,-100.0
259,nancy.baker@outlook.com,0.0,-100.0
260,daniel_taylor1988@outlook.com,2.0,36.0
261,Nestor.Hahn52@gmail.com,3.0,72.0
262,sophia.brown1684@gmail.com,0.0,-100.0
263,Joel32@outlook.com,3.0,92.0
264,Domenic_Hudson95@gmail.com,2.0,29.0
265,david2097@hotmail.com,0.0,-100.0
266,Lamont37@gmail.com,3.0,87.0
267,ethan.white02@protonmail.com,1.0,22.0
268,Cheyanne.Rippin@aol.com,0.0,-100.0
269,Darrel_Roberts15@protonmail.com,1.0,9.0
270,edward.king@protonmail.com,0.0,-100.0
271,nathan.martin04@gmail.com,1.0,20.0
272,daniel.wood@outlook.com,0.0,-100.0
273,Sunny_Nader@yahoo.com,0.0,-100.0
274,Erling_Runolfsdottir@outlook.com,0.0,-100.0
275,adam2004_henderson@gmail.com,1.0,20.0
276,alice.bell@hotmail.com,0.0,-100.0
277,ethan_hughes1001@protonmail.com,0.0,-100.0
278,lily3456@protonmail.com,0.0,-100.0
279,Reggie_Greenholt34@gmail.com,3.0,90.0
280,lucy.adams@protonmail..com,0.0,-100.0
281,Blanche44@outlook.com,3.0,80.0
282,eliza.thomas@outlook.com,0.0,-100.0
283,Linnie78@mail.com,2.0,46.0
284,john_smith@yahoo.com,0.0,-100.0
285,david.young@icloud.com,0.0,-100.0
286,adam.henderson32@gmail.com,3.0,92.0
287,Carolanne33@aol.com,3.0,91.0
288,ethan_9931@gmail.com,0.0,-100.0
289,Monserrat_Kautzer@gmail.com,0.0,-100.0
290,Lysanne.Cormier@aol.com,0.0,-100.0
291,simon.murphy1687@gmail.com,0.0,-100.0
292,Selmer35@aol.com,3.0,89.0
293,Evalyn.Lehner0@yahoo.com,0.0,-100.0
294,zoe.bryant19@aol.com,1.0,5.0
295,Marta_Sanford93@tutanota.com,2.0,31.0
296,jason99_lee@gmail.com,2.0,25.0
297,lily64_gleam@yahoo.com,3.0,60.0
298,Catalina_Grady5@tutanota.com,0.0,-100.0
299,Jeramie_Denesik98@yahoo.com,2.0,26.0
300,Jaiden60@gmail.com,3.0,64.0
301,Marilyne.Crist@mail.com,0.0,-100.0
302,james.wright@gmail.com,0.0,-100.0
303,nathan31_flare@aol.com,3.0,93.0
304,Rachelle.Hane97@mail.com,2.0,27.0
305,Reba_Robel62@mail.com,3.0,62.0
306,emily.smith06@outlook.com,1.0,18.0
307,Stephania.Fisher91@gmail.com,2.0,33.0
308,Stanton.Turcotte@aol.com,0.0,-100.0
309,lucy.brown@yahoo.com,0.0,-100.0
310,Kasandra_Mayert56@aol.com,3.0,68.0
311,Amira4@yahoo.com,0.0,-100.0
312,sarah.wright1717@gmail.com,0.0,-100.0
313,catherine.davis@hotmail.com,0.0,-100.0
314,jacob.green05@yahoo.com,1.0,19.0
315,Connie_Haley@gmail.com,0.0,-100.0
316,Asia_Stark26@protonmail.com,3.0,98.0
317,Camille36@aol.com,3.0,88.0
318,paul.cook@icloud.com,0.0,-100.0
319,Jammie.Hartmann50@icloud.com,3.0,74.0
320,ethan1995_white@yahoo.com,1.0,29.0
321,Florida14@gmail.com,1.0,10.0
322,Wiley75@aol.com,2.0,49.0
323,Saige.Conroy-Raynor62@gmail.com,3.0,62.0
324,Winona89@outlook.com,2.0,35.0
325,olivia.brown2001@yahoo.com,1.0,23.0
326,Cecilia_Gottlieb@yahoo.com,0.0,-100.0
327,eliza.howard@gmail.com,0.0,-100.0
328,Quincy_Mayert@aol.com,0.0,-100.0
329,victoria.carter84@yahoo.com,2.0,40.0
330,Santina_Stark68@protonmail.com,3.0,56.0
331,sophia_scott1999@gmail.com,1.0,25.0
332,nancy.bryant1797@gmail.com,0.0,-100.0
333,william.johnson@outlook.com,0.0,-100.0
334,Freddie_Marvin@gmail.com,0.0,-100.0
335,Douglas74@gmail.com,3.0,50.0
336,Julio_Jaskolski@tutanota.com,0.0,-100.0
337,emma.clark76@icloud.com,2.0,48.0
338,Eva35@protonmail.com,3.0,89.0
339,amanda.king99@hotmail.com,2.0,25.0
340,Meredith_Stracke7@aol.com,0.0,-100.0
341,george.taylor1811@gmail.com,0.0,-100.0
342,Anais_Hoppe15@mail.com,1.0,9.0
343,Hertha_VonRueden@aol.com,0.0,-100.0
344,carter1988_james@hotmail.com,2.0,36.0
345,sarah.green89@icloud.com,2.0,35.0
346,Oran_Zemlak39@gmail.com,3.0,85.0
347,logan_brooks87612@gmail.com,0.0,-100.0
348,jessica_walker1993@gmail.com,2.0,31.0
349,amanda.williams56@icloud.com,3.0,68.0
350,Charity6@protonmail.com,0.0,-100.0
351,Kiarra_Hand60@mail.com,3.0,64.0
352,mark_1995johnson@outlook.com,1.0,29.0
353,elizabeth.thomas@outlook.com,0.0,-100.0
354,james.jones@yahoo.com,0.0,-100.0
355,3356_johnson.jane@gmail.com,0.0,-100.0
356,daniel2001_martin@icloud.com,1.0,23.0
357,emma.king@icloud.com,0.0,-100.0
358,Demario_Fisher47@mail.com,3.0,77.0
359,rebecca.moore@icloud.com,0.0,-100.0
360,Aglae64@protonmail.com,3.0,60.0
361,stephen.morris@yahoo.com,0.0,-100.0
362,Etha_Simonis@gmail.com,0.0,-100.0
363,logan.brooks12@gmail.com,1.0,12.0
364,Heber_Brakus50@tutanota.com,3.0,74.0
365,mary.cook@outlook.com,0.0,-100.0
366,lily.green2000@hotmail.com,1.0,24.0
367,sam.kelly7765@aol.com,0.0,-100.0
368,dylan49_shine@gmail.com,3.0,75.0
369,Birdie_Kuvalis89@outlook.com,2.0,35.0
370,mason.watson04@hotmail.com,1.0,20.0
371,hailey.price39@protonmail.com,3.0,85.0
372,sophia.brown@hotmail.com,0.0,-100.0
373,2001_johnson.jane@gmail.com,1.0,23.0
374,Blanche.Predovic@yahoo.com,0.0,-100.0
375,Loyal_Kuhic@gmail.com,0.0,-100.0
376,jane_doe1989@gmail.com,2.0,35.0
377,kevin.sanders89@gmail.com,2.0,35.0
378,rachel5551_b@outlook.com,0.0,-100.0
379,henry.wright@protonmail.com,0.0,-100.0
380,michael.cook@hotmail.com,0.0,-100.0
381,Estelle80@yahoo.com,2.0,44.0
382,laura.walker@protonmail.com,0.0,-100.0
383,emma_clark1234@icloud.com,0.0,-100.0
384,mason_hayes2000@gmail.com,1.0,24.0
385,joshua1981_ward@gmail.com,2.0,43.0
386,Macey29@gmail.com,3.0,95.0
387,Faye_Carter81@icloud.com,2.0,43.0
388,Maxime.Brown93@mail.com,2.0,31.0
389,nathan_roberts1991@gmail.com,2.0,33.0
390,laura_taylor1995@gmail.com,1.0,29.0
391,chris_harris2002@gmail.com,1.0,22.0
392,kevin_sanders1989@gmail.com,2.0,35.0
393,Gerry.Fisher@protonmail.com,0.0,-100.0
394,aiden_miller8974@gmail.com,0.0,-100.0
395,daniel97_flare@outlook.com,2.0,27.0
396,katherine.hill@outlook.com,0.0,-100.0
397,william.miller@icloud.com,0.0,-100.0
398,Gregorio.Gusikowski@gmail.com,0.0,-100.0
399,David.Brakus7@mail.com,0.0,-100.0
400,andrew_baker1996@gmail.com,1.0,28.0
401,Kurtis.Towne@yahoo.com,0.0,-100.0
402,Pietro2@mail.com,0.0,-100.0
403,madeline_ross2005@aol.com,1.0,19.0
404,david.mitchell@gmail.com,0.0,-100.0
405,Oral.Lind28@gmail.com,3.0,96.0
406,alex97@gmail.com,2.0,27.0
407,Ima56@aol.com,3.0,68.0
408,john.jones@hotmail.com,0.0,-100.0
409,robert.turner54@protonmail.com,3.0,70.0
410,rebecca.evans@protonmail.com,0.0,-100.0
411,Joanne.Hickle91@mail.com,2.0,33.0
412,arthur99_archi@gmail.com,2.0,25.0
413,Elisha.Grant93@protonmail.com,2.0,31.0
414,adam_henderson5432@gmail.com,0.0,-100.0
415,Murray_Waters@protonmail.com,0.0,-100.0
416,robert2002_harris@protonmail.com,1.0,22.0
417,jason1985_davis@yahoo.com,2.0,39.0
418,Bonnie5@gmail.com,0.0,-100.0
419,george.thomas@hotmail.com,0.0,-100.0
420,alice.carter1653@gmail.com,0.0,-100.0
421,sarah_smith2001@gmail.com,1.0,23.0
422,amanda_ward1999@gmail.com,1.0,25.0
423,mark_sanders1999@gmail.com,1.0,25.0
424,Emmet_Moen37@aol.com,3.0,87.0
425,Rod.Ferry@mail.com,0.0,-100.0
426,eliza.miller@outlook.com,0.0,-100.0
427,kevin1988_morris@outlook.com,2.0,36.0
428,claire1984_hall@yahoo.com,2.0,40.0
429,Genevieve_Sawayn-Kunde79@gmail.com,2.0,45.0
430,patrick.morgan@hotmail.com,0.0,-100.0
431,sophia1999_adams@outlook.com,1.0,25.0
432,matthew.davis01@hotmail.com,1.0,23.0
433,Rey.Weber44@gmail.com,3.0,80.0
434,jessica45_blaze@gmail.com,3.0,79.0
435,Aron42@mail.com,3.0,82.0
436,jacob.green05@yahoo.com,1.0,19.0
437,Reva79@gmail.com,2.0,45.0
438,olivia23_fire@hotmail.com,1.0,1.0
439,9087_steve.s@gmail.com,0.0,-100.0
440,Faye.Rowe25@protonmail.com,3.0,99.0
441,Freddy.Green@aol.com,0.0,-100.0
442,Paula_Rogahn56@tutanota.com,3.0,68.0
443,Hosea59@yahoo.com,3.0,65.0
444,Myrtle.Hermiston60@yahoo.com,3.0,64.0
445,emma1987_taylor@gmail.com,2.0,37.0
446,Elta37@protonmail.com,3.0,87.0
447,Beth_Johnston94@gmail.com,2.0,30.0
448,rachel2006_wright@icloud.com,0.0,-100.0
449,abigail1987_powell@yahoo.com,2.0,37.0
450,Evie_Beier@protonmail.com,0.0,-100.0
451,carter.james99@hotmail.com,2.0,25.0
452,sarah.brown@yahoo.com,0.0,-100.0
453,grace.roberts1705@gmail.com,0.0,-100.0
454,Glenda_Gleason@yahoo.com,0.0,-100.0
455,katherine.foster1710@gmail.com,0.0,-100.0
456,Octavia.Thiel@gmail.com,0.0,-100.0
457,andrew_james7654@hotmail.com,0.0,-100.0
458,Elwin80@icloud.com,2.0,44.0
459,Herta_Abernathy13@mail.com,1.0,11.0
460,katie_thompson1981@gmail.com,2.0,43.0
461,caleb_phillips34567@icloud.com,0.0,-100.0
462,ryan33_blaze@hotmail.com,3.0,91.0
463,elizabeth.miller1732@gmail.com,0.0,-100.0
464,daniel.jackson@hotmail.com,0.0,-100.0
465,Sister87@icloud.com,2.0,37.0
466,tyler.hayes86@gmail.com,2.0,38.0
467,laura.davis@aol.com,0.0,-100.0
468,Darrel_Roberts15@protonmail.com,1.0,9.0
469,megan12_fire@aol.com,1.0,12.0
470,olivia.johnson91@gmail.com,2.0,33.0
471,Clark.Hoppe14@icloud.com,1.0,10.0
472,Rubye.Lebsack28@yahoo.com,3.0,96.0
473,michael.johnson@gmail.com,0.0,-100.0
474,olivia.johnson91@gmail.com,2.0,33.0
475,Talon_Stark79@icloud.com,2.0,45.0
476,victoria17_heat@protonmail.com,1.0,7.0
477,andrew.clark88@gmail.com,2.0,36.0
478,Javonte.Bednar@tutanota.com,0.0,-100.0
479,benjamin.mitchell1779@gmail.com,0.0,-100.0
480,Bertha66@gmail.com,3.0,58.0
481,Rubye.Lebsack28@yahoo.com,3.0,96.0
482,margaret.smith@hotmail.com,0.0,-100.0
483,Brook_Marks53@tutanota.com,3.0,71.0
484,rebecca.allen1771@gmail.com,0.0,-100.0
485,john_lee1986@gmail.com,2.0,38.0
486,logan19_glint@gmail.com,1.0,5.0
487,Lyla_Jakubowski@gmail.com,0.0,-100.0
488,Eva35@protonmail.com,3.0,89.0
489,Maddison62@aol.com,3.0,62.0
490,abigail.powell56@yahoo.com,3.0,68.0
491,james4672_blake@gmail.com,0.0,-100.0
492,Fae_Ward80@yahoo.com,2.0,44.0
493,Tillman.Green44@icloud.com,3.0,80.0
494,Hayley.Kohler49@protonmail.com,3.0,75.0
495,joshua.bell00@gmail.com,1.0,24.0
496,Wanda40@gmail.com,3.0,84.0
497,jason1997_long@gmail.com,1.0,27.0
498,matthew_davis8765@hotmail.com,0.0,-100.0
499,Alexane45@aol.com,3.0,79.0
500,thomas.brown@protonmail.com,0.0,-100.0
501,Hilario.Steuber@aol.com,0.0,-100.0
502,Zackary29@gmail.com,3.0,95.0
503,Kirk96@tutanota.com,2.0,28.0
504,nathan.peters1808@gmail.com,0.0,-100.0
505,Cesar74@gmail.com,3.0,50.0
506,Krista59@gmail.com,3.0,65.0
507,sophia_jones2001@gmail.com,1.0,23.0
508,Minnie_Nitzsche48@yahoo.com,3.0,76.0
509,william.johnson1799@gmail.com,0.0,-100.0
510,ethan.lee2002@protonmail.com,1.0,22.0
511,Roger44@gmail.com,3.0,80.0
512,Marisol1@gmail.com,0.0,-100.0
513,lily.long85@yahoo.com,2.0,39.0
514,Terrance28@aol.com,3.0,96.0
515,dylan.richards83@gmail.com,2.0,41.0
516,Cali_Bauch81@icloud.com,2.0,43.0
517,Shany.McLaughlin@tutanota.com,0.0,-100.0
518,Adaline.Stamm83@gmail.com,2.0,41.0
519,robert.carter@hotmail.com,0.0,-100.0
520,Frederique.Cronin45@gmail.com,3.0,79.0
521,jason35_glint@gmail.com,3.0,89.0
522,Ayden28@yahoo.com,3.0,96.0
523,Barbara_Kub@tutanota.com,0.0,-100.0
524,Estelle80@yahoo.com,2.0,44.0
525,david.phillips@outlook.com,0.0,-100.0
526,m.williams1998@icloud.com,1.0,26.0
527,david_roberts1981@gmail.com,2.0,43.0
528,lily1983_thompson@protonmail.com,2.0,41.0
529,ryan1984_hughes@hotmail.com,2.0,40.0
530,hailey_sanders4567@gmail.com,0.0,-100.0
531,david_clark1983@gmail.com,2.0,41.0
532,Oren_Rau@mail.com,0.0,-100.0
533,Helena_Bartoletti@aol.com,0.0,-100.0
534,Jaquelin.Hermann13@tutanota.com,1.0,11.0
535,Joey_Gottlieb@aol.com,0.0,-100.0
536,george.scott@yahoo.com,0.0,-100.0
537,Devante_Deckow@gmail.com,0.0,-100.0
538,Tom_Torp@gmail.com,0.0,-100.0
539,daniel_clark@outlook.com,0.0,-100.0
540,james.clark@protonmail.com,0.0,-100.0
541,emma..watson@yahoo.com,0.0,-100.0
542,Imelda.Kemmer@tutanota.com,0.0,-100.0
543,caleb_powell1989@gmail.com,2.0,35.0
544,samuel.6782clark@gmail.com,0.0,-100.0
545,Jaren16@tutanota.com,1.0,8.0
546,victoria.carter84@yahoo.com,2.0,40.0
547,emma_9010thompson@gmail.com,0.0,-100.0
548,Fay.Kertzmann@mail.com,0.0,-100.0
549,nancy.morris@yahoo.com,0.0,-100.0
550,Jacques.Grady55@protonmail.com,3.0,69.0
551,jessica.evans04@gmail.com,1.0,20.0
552,laura.evans@gmail.com,0.0,-100.0
553,samantha.jones1994@gmail.com,2.0,30.0
554,jason42_light@yahoo.com,3.0,82.0
555,Arlo8@outlook.com,0.0,-100.0
556,laura.baker45@icloud.com,3.0,79.0
557,robert.jones@yahoo.com,0.0,-100.0
558,oliver1123@gmail.com,0.0,-100.0
559,laura.evans@icloud.com,0.0,-100.0
560,anna_martin1997@gmail.com,1.0,27.0
