,email,label,age,stripped,features,padded
10,Dock_King@yahoo.com,0.0,-100.0,dock_king,"[17, 28, 16, 24, 12, 24, 22, 27, 20]","[17, 28, 16, 24, 12, 24, 22, 27, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,Elmo_Weissnat@mail.com,0.0,-100.0,elmo_weissnat,"[18, 25, 26, 28, 12, 36, 18, 22, 32, 32, 27, 14, 33]","[18, 25, 26, 28, 12, 36, 18, 22, 32, 32, 27, 14, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,Nils_Pacocha24@tutanota.com,1.0,0.0,nils_pacocha24,"[27, 22, 25, 32, 12, 29, 14, 16, 28, 16, 21, 14, 3, 5]","[27, 22, 25, 32, 12, 29, 14, 16, 28, 16, 21, 14, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,claire_harris9987@outlook.com,0.0,-100.0,claire_harris9987,"[16, 25, 14, 22, 31, 18, 12, 21, 14, 31, 31, 22, 32, 10, 10, 9, 8]","[16, 25, 14, 22, 31, 18, 12, 21, 14, 31, 31, 22, 32, 10, 10, 9, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,Maiya.Huel47@aol.com,3.0,77.0,maiya.huel47,"[26, 14, 22, 38, 14, 11, 21, 34, 18, 25, 5, 8]","[26, 14, 22, 38, 14, 11, 21, 34, 18, 25, 5, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,zoe1983_barnes@aol.com,2.0,41.0,zoe1983_barnes,"[39, 28, 18, 2, 10, 9, 4, 12, 15, 14, 31, 27, 18, 32]","[39, 28, 18, 2, 10, 9, 4, 12, 15, 14, 31, 27, 18, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,Jaclyn.Littel@aol.com,0.0,-100.0,jaclyn.littel,"[23, 14, 16, 25, 38, 27, 11, 25, 22, 33, 33, 18, 25]","[23, 14, 16, 25, 38, 27, 11, 25, 22, 33, 33, 18, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,mary.green@yahoo.com,0.0,-100.0,mary.green,"[26, 14, 31, 38, 11, 20, 31, 18, 18, 27]","[26, 14, 31, 38, 11, 20, 31, 18, 18, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,mandy.04@gmail.com,1.0,20.0,mandy.04,"[26, 14, 27, 17, 38, 11, 1, 5]","[26, 14, 27, 17, 38, 11, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,laura.foster@icloud..com,0.0,-100.0,laura.foster,"[25, 14, 34, 31, 14, 11, 19, 28, 32, 33, 18, 31]","[25, 14, 34, 31, 14, 11, 19, 28, 32, 33, 18, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,jessica.evans04@gmail.com,1.0,20.0,jessica.evans04,"[23, 18, 32, 32, 22, 16, 14, 11, 18, 35, 14, 27, 32, 1, 5]","[23, 18, 32, 32, 22, 16, 14, 11, 18, 35, 14, 27, 32, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,nathan.james95@outlook.com,2.0,29.0,nathan.james95,"[27, 14, 33, 21, 14, 27, 11, 23, 14, 26, 18, 32, 10, 6]","[27, 14, 33, 21, 14, 27, 11, 23, 14, 26, 18, 32, 10, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,Raina.OHara70@outlook.com,3.0,54.0,raina.ohara70,"[31, 14, 22, 27, 14, 11, 28, 21, 14, 31, 14, 8, 1]","[31, 14, 22, 27, 14, 11, 28, 21, 14, 31, 14, 8, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,luke_barnes2006@gmail.com,0.0,-100.0,luke_barnes2006,"[25, 34, 24, 18, 12, 15, 14, 31, 27, 18, 32, 3, 1, 1, 7]","[25, 34, 24, 18, 12, 15, 14, 31, 27, 18, 32, 3, 1, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,matthew.roberts@protonmail.com,0.0,-100.0,matthew.roberts,"[26, 14, 33, 33, 21, 18, 36, 11, 31, 28, 15, 18, 31, 33, 32]","[26, 14, 33, 33, 21, 18, 36, 11, 31, 28, 15, 18, 31, 33, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,susan.brown@gmail.com,0.0,-100.0,susan.brown,"[32, 34, 32, 14, 27, 11, 15, 31, 28, 36, 27]","[32, 34, 32, 14, 27, 11, 15, 31, 28, 36, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,natalie9872_smith@yahoo.com,0.0,-100.0,natalie9872_smith,"[27, 14, 33, 14, 25, 22, 18, 10, 9, 8, 3, 12, 32, 26, 22, 33, 21]","[27, 14, 33, 14, 25, 22, 18, 10, 9, 8, 3, 12, 32, 26, 22, 33, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,peter.ward@gmail.com,0.0,-100.0,peter.ward,"[29, 18, 33, 18, 31, 11, 36, 14, 31, 17]","[29, 18, 33, 18, 31, 11, 36, 14, 31, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,rebecca.thomas@hotmail.com,0.0,-100.0,rebecca.thomas,"[31, 18, 15, 18, 16, 16, 14, 11, 33, 21, 28, 26, 14, 32]","[31, 18, 15, 18, 16, 16, 14, 11, 33, 21, 28, 26, 14, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,carter85_burn@hotmail.com,2.0,39.0,carter85_burn,"[16, 14, 31, 33, 18, 31, 9, 6, 12, 15, 34, 31, 27]","[16, 14, 31, 33, 18, 31, 9, 6, 12, 15, 34, 31, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,amanda78_flash@hotmail.com,2.0,46.0,amanda78_flash,"[14, 26, 14, 27, 17, 14, 8, 9, 12, 19, 25, 14, 32, 21]","[14, 26, 14, 27, 17, 14, 8, 9, 12, 19, 25, 14, 32, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,Ernie88@icloud.com,2.0,36.0,ernie88,"[18, 31, 27, 22, 18, 9, 9]","[18, 31, 27, 22, 18, 9, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,Kennedy.Schmidt59@gmail.com,3.0,65.0,kennedy.schmidt59,"[24, 18, 27, 27, 18, 17, 38, 11, 32, 16, 21, 26, 22, 17, 33, 6, 10]","[24, 18, 27, 27, 18, 17, 38, 11, 32, 16, 21, 26, 22, 17, 33, 6, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,james1980_clark@gmail.com,2.0,44.0,james1980_clark,"[23, 14, 26, 18, 32, 2, 10, 9, 1, 12, 16, 25, 14, 31, 24]","[23, 14, 26, 18, 32, 2, 10, 9, 1, 12, 16, 25, 14, 31, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,Morris_Vandervort@gmail.com,0.0,-100.0,morris_vandervort,"[26, 28, 31, 31, 22, 32, 12, 35, 14, 27, 17, 18, 31, 35, 28, 31, 33]","[26, 28, 31, 31, 22, 32, 12, 35, 14, 27, 17, 18, 31, 35, 28, 31, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,Ayden28@yahoo.com,3.0,96.0,ayden28,"[14, 38, 17, 18, 27, 3, 9]","[14, 38, 17, 18, 27, 3, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,zoe_richards1995@gmail.com,1.0,29.0,zoe_richards1995,"[39, 28, 18, 12, 31, 22, 16, 21, 14, 31, 17, 32, 2, 10, 10, 6]","[39, 28, 18, 12, 31, 22, 16, 21, 14, 31, 17, 32, 2, 10, 10, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,hailey1998_turner@gmail.com,1.0,26.0,hailey1998_turner,"[21, 14, 22, 25, 18, 38, 2, 10, 10, 9, 12, 33, 34, 31, 27, 18, 31]","[21, 14, 22, 25, 18, 38, 2, 10, 10, 9, 12, 33, 34, 31, 27, 18, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,anna.harris@icloud.com,0.0,-100.0,anna.harris,"[14, 27, 27, 14, 11, 21, 14, 31, 31, 22, 32]","[14, 27, 27, 14, 11, 21, 14, 31, 31, 22, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,david.roberts81@gmail.com,2.0,43.0,david.roberts81,"[17, 14, 35, 22, 17, 11, 31, 28, 15, 18, 31, 33, 32, 9, 2]","[17, 14, 35, 22, 17, 11, 31, 28, 15, 18, 31, 33, 32, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,Jose_Hayes62@mail.com,3.0,62.0,jose_hayes62,"[23, 28, 32, 18, 12, 21, 14, 38, 18, 32, 7, 3]","[23, 28, 32, 18, 12, 21, 14, 38, 18, 32, 7, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,victoria_carter1984@yahoo.com,2.0,40.0,victoria_carter1984,"[35, 22, 16, 33, 28, 31, 22, 14, 12, 16, 14, 31, 33, 18, 31, 2, 10, 9, 5]","[35, 22, 16, 33, 28, 31, 22, 14, 12, 16, 14, 31, 33, 18, 31, 2, 10, 9, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,robert.mitchell@gmail.com,0.0,-100.0,robert.mitchell,"[31, 28, 15, 18, 31, 33, 11, 26, 22, 33, 16, 21, 18, 25, 25]","[31, 28, 15, 18, 31, 33, 11, 26, 22, 33, 16, 21, 18, 25, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43,eliza.brooks1702@gmail.com,0.0,-100.0,eliza.brooks1702,"[18, 25, 22, 39, 14, 11, 15, 31, 28, 28, 24, 32, 2, 8, 1, 3]","[18, 25, 22, 39, 14, 11, 15, 31, 28, 28, 24, 32, 2, 8, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,emily.wood1696@gmail.com,0.0,-100.0,emily.wood1696,"[18, 26, 22, 25, 38, 11, 36, 28, 28, 17, 2, 7, 10, 7]","[18, 26, 22, 25, 38, 11, 36, 28, 28, 17, 2, 7, 10, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,alexis43_flare@gmail.com,3.0,81.0,alexis43_flare,"[14, 25, 18, 37, 22, 32, 5, 4, 12, 19, 25, 14, 31, 18]","[14, 25, 18, 37, 22, 32, 5, 4, 12, 19, 25, 14, 31, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,Roel37@yahoo.com,3.0,87.0,roel37,"[31, 28, 18, 25, 4, 8]","[31, 28, 18, 25, 4, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,david66_glow@hotmail.com,3.0,58.0,david66_glow,"[17, 14, 35, 22, 17, 7, 7, 12, 20, 25, 28, 36]","[17, 14, 35, 22, 17, 7, 7, 12, 20, 25, 28, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48,madeline1986_ross@aol.com,2.0,38.0,madeline1986_ross,"[26, 14, 17, 18, 25, 22, 27, 18, 2, 10, 9, 7, 12, 31, 28, 32, 32]","[26, 14, 17, 18, 25, 22, 27, 18, 2, 10, 9, 7, 12, 31, 28, 32, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,samantha1996_green@icloud.com,1.0,28.0,samantha1996_green,"[32, 14, 26, 14, 27, 33, 21, 14, 2, 10, 10, 7, 12, 20, 31, 18, 18, 27]","[32, 14, 26, 14, 27, 33, 21, 14, 2, 10, 10, 7, 12, 20, 31, 18, 18, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,madison1991_bell@outlook.com,2.0,33.0,madison1991_bell,"[26, 14, 17, 22, 32, 28, 27, 2, 10, 10, 2, 12, 15, 18, 25, 25]","[26, 14, 17, 22, 32, 28, 27, 2, 10, 10, 2, 12, 15, 18, 25, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
51,john.morris@gmail.com,0.0,-100.0,john.morris,"[23, 28, 21, 27, 11, 26, 28, 31, 31, 22, 32]","[23, 28, 21, 27, 11, 26, 28, 31, 31, 22, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,Clement.Stamm37@gmail.com,3.0,87.0,clement.stamm37,"[16, 25, 18, 26, 18, 27, 33, 11, 32, 33, 14, 26, 26, 4, 8]","[16, 25, 18, 26, 18, 27, 33, 11, 32, 33, 14, 26, 26, 4, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
53,emma.johnson1999@outlook.com,1.0,25.0,emma.johnson1999,"[18, 26, 26, 14, 11, 23, 28, 21, 27, 32, 28, 27, 2, 10, 10, 10]","[18, 26, 26, 14, 11, 23, 28, 21, 27, 32, 28, 27, 2, 10, 10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
54,Alanna.Bode-Altenwerth66@yahoo.com,3.0,58.0,alanna.bode-altenwerth66,"[14, 25, 14, 27, 27, 14, 11, 15, 28, 17, 18, 13, 14, 25, 33, 18, 27, 36, 18, 31, 33, 21, 7, 7]","[14, 25, 14, 27, 27, 14, 11, 15, 28, 17, 18, 13, 14, 25, 33, 18, 27, 36, 18, 31, 33, 21, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0]"
55,rebecca.scott@outlook.com,0.0,-100.0,rebecca.scott,"[31, 18, 15, 18, 16, 16, 14, 11, 32, 16, 28, 33, 33]","[31, 18, 15, 18, 16, 16, 14, 11, 32, 16, 28, 33, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
56,Chanelle71@outlook.com,3.0,53.0,chanelle71,"[16, 21, 14, 27, 18, 25, 25, 18, 8, 2]","[16, 21, 14, 27, 18, 25, 25, 18, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
57,logan_turner1998@outlook.com,1.0,26.0,logan_turner1998,"[25, 28, 20, 14, 27, 12, 33, 34, 31, 27, 18, 31, 2, 10, 10, 9]","[25, 28, 20, 14, 27, 12, 33, 34, 31, 27, 18, 31, 2, 10, 10, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
58,emily.smith06@outlook.com,1.0,18.0,emily.smith06,"[18, 26, 22, 25, 38, 11, 32, 26, 22, 33, 21, 1, 7]","[18, 26, 22, 25, 38, 11, 32, 26, 22, 33, 21, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
59,kevin_2003thompson@gmail.com,1.0,21.0,kevin_2003thompson,"[24, 18, 35, 22, 27, 12, 3, 1, 1, 4, 33, 21, 28, 26, 29, 32, 28, 27]","[24, 18, 35, 22, 27, 12, 3, 1, 1, 4, 33, 21, 28, 26, 29, 32, 28, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60,mark.smith2004@gmail.com,1.0,20.0,mark.smith2004,"[26, 14, 31, 24, 11, 32, 26, 22, 33, 21, 3, 1, 1, 5]","[26, 14, 31, 24, 11, 32, 26, 22, 33, 21, 3, 1, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
61,Kameron21@mail.com,1.0,3.0,kameron21,"[24, 14, 26, 18, 31, 28, 27, 3, 2]","[24, 14, 26, 18, 31, 28, 27, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
62,thomas.hall@gmail.com,0.0,-100.0,thomas.hall,"[33, 21, 28, 26, 14, 32, 11, 21, 14, 25, 25]","[33, 21, 28, 26, 14, 32, 11, 21, 14, 25, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
63,logan.turner98@outlook.com,2.0,26.0,logan.turner98,"[25, 28, 20, 14, 27, 11, 33, 34, 31, 27, 18, 31, 10, 9]","[25, 28, 20, 14, 27, 11, 33, 34, 31, 27, 18, 31, 10, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
64,Joana.Zboncak@icloud.com,0.0,-100.0,joana.zboncak,"[23, 28, 14, 27, 14, 11, 39, 15, 28, 27, 16, 14, 24]","[23, 28, 14, 27, 14, 11, 39, 15, 28, 27, 16, 14, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,rachel.perez45@icloud.com,3.0,79.0,rachel.perez45,"[31, 14, 16, 21, 18, 25, 11, 29, 18, 31, 18, 39, 5, 6]","[31, 14, 16, 21, 18, 25, 11, 29, 18, 31, 18, 39, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
66,Giovanni_Tremblay60@aol.com,3.0,64.0,giovanni_tremblay60,"[20, 22, 28, 35, 14, 27, 27, 22, 12, 33, 31, 18, 26, 15, 25, 14, 38, 7, 1]","[20, 22, 28, 35, 14, 27, 27, 22, 12, 33, 31, 18, 26, 15, 25, 14, 38, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
67,megan.wilson21@hotmail.com,1.0,3.0,megan.wilson21,"[26, 18, 20, 14, 27, 11, 36, 22, 25, 32, 28, 27, 3, 2]","[26, 18, 20, 14, 27, 11, 36, 22, 25, 32, 28, 27, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
68,rebecca.bryant@protonmail.com,0.0,-100.0,rebecca.bryant,"[31, 18, 15, 18, 16, 16, 14, 11, 15, 31, 38, 14, 27, 33]","[31, 18, 15, 18, 16, 16, 14, 11, 15, 31, 38, 14, 27, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
69,Neal.McGlynn@gmail.com,0.0,-100.0,neal.mcglynn,"[27, 18, 14, 25, 11, 26, 16, 20, 25, 38, 27, 27]","[27, 18, 14, 25, 11, 26, 16, 20, 25, 38, 27, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,rachel11_flare@icloud.com,1.0,13.0,rachel11_flare,"[31, 14, 16, 21, 18, 25, 2, 2, 12, 19, 25, 14, 31, 18]","[31, 14, 16, 21, 18, 25, 2, 2, 12, 19, 25, 14, 31, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
71,david.roberts81@gmail.com,2.0,43.0,david.roberts81,"[17, 14, 35, 22, 17, 11, 31, 28, 15, 18, 31, 33, 32, 9, 2]","[17, 14, 35, 22, 17, 11, 31, 28, 15, 18, 31, 33, 32, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
72,Mekhi60@icloud.com,3.0,64.0,mekhi60,"[26, 18, 24, 21, 22, 7, 1]","[26, 18, 24, 21, 22, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
73,Evan93@yahoo.com,2.0,31.0,evan93,"[18, 35, 14, 27, 10, 4]","[18, 35, 14, 27, 10, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
74,rachel.bailey1723@gmail.com,0.0,-100.0,rachel.bailey1723,"[31, 14, 16, 21, 18, 25, 11, 15, 14, 22, 25, 18, 38, 2, 8, 3, 4]","[31, 14, 16, 21, 18, 25, 11, 15, 14, 22, 25, 18, 38, 2, 8, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
75,hannah_8764hill@icloud.com,0.0,-100.0,hannah_8764hill,"[21, 14, 27, 27, 14, 21, 12, 9, 8, 7, 5, 21, 22, 25, 25]","[21, 14, 27, 27, 14, 21, 12, 9, 8, 7, 5, 21, 22, 25, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
76,sophia.jones03@gmail.com,1.0,21.0,sophia.jones03,"[32, 28, 29, 21, 22, 14, 11, 23, 28, 27, 18, 32, 1, 4]","[32, 28, 29, 21, 22, 14, 11, 23, 28, 27, 18, 32, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
77,elizabeth.roberts@hotmail.com,0.0,-100.0,elizabeth.roberts,"[18, 25, 22, 39, 14, 15, 18, 33, 21, 11, 31, 28, 15, 18, 31, 33, 32]","[18, 25, 22, 39, 14, 15, 18, 33, 21, 11, 31, 28, 15, 18, 31, 33, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
78,Susan13@tutanota.com,1.0,11.0,susan13,"[32, 34, 32, 14, 27, 2, 4]","[32, 34, 32, 14, 27, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
79,madeline.ross05@aol.com,1.0,19.0,madeline.ross05,"[26, 14, 17, 18, 25, 22, 27, 18, 11, 31, 28, 32, 32, 1, 6]","[26, 14, 17, 18, 25, 22, 27, 18, 11, 31, 28, 32, 32, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
